time,prefix,asID,OriginMatch,IRR,Parent,SameOrg,PC,Depen,Distance
1657998747,103.122.191.39/32,59796,0.0,0.0,0.0,0.0,1.0,0.0,0.9928656029288347
1658188716,37.33.104.0/24,12479,0.0,0.0,0.0,0.0,0.0,0.0,0.9805987851146404
1658219600,193.203.48.254/32,15626,0.0,0.0,0.0,0.0,0.0,0.0,0.9383377149350922
1658244856,198.0.2.0/24,262374,0.0,0.0,0.0,0.0,0.0,0.0,0.9899633832932326
1658304747,5.180.112.0/22,205124,0.0,0.0,0.0,0.0,0.0,0.0,0.9940163400951408
1658362672,2605:f440:b00b::/48,923,0.0,0.0,0.0,0.0,0.0,0.0,0.9671543699288594
1658362739,77.47.142.0/24,49870,0.0,0.0,0.0,0.0,0.0,0.0,0.9765252310922656
1658428790,192.101.66.0/24,43350,0.0,0.0,0.0,0.0,0.0,0.0,0.992019188686179
1658507786,2801:189::/44,10753,0.0,0.0,0.0,1.0,1.0,0.0,0.9832024336110649
1658629766,142.252.145.0/24,262287,0.0,0.0,0.0,0.0,0.0,0.0,0.993964438945777
1658629766,172.252.233.0/24,262287,0.0,0.0,0.0,0.0,0.0,0.0,0.993964438945777
1658659976,2a07:54c2:100::/48,208548,0.0,0.0,0.0,0.0,0.0,0.0,0.989448110482555
1658659976,2a07:54c2:101::/48,208548,0.0,0.0,0.0,0.0,0.0,0.0,0.989448110482555
1658740990,193.57.166.0/24,60068,0.0,0.0,0.0,1.0,1.0,1.0,0.977627217130977
1658756054,172.101.4.0/24,6697,0.0,0.0,0.0,0.0,0.0,0.0,0.9935030833322132
1658842458,102.216.158.0/24,140947,0.0,0.0,0.0,0.0,0.0,0.0,0.9947911204970176
1658924194,128.201.33.0/24,270814,0.0,0.0,0.0,0.0,0.0,0.0,0.6600163686684202
1659086856,181.215.197.0/24,14935,0.0,0.0,0.0,0.0,0.0,0.0,0.9423482226821244
1659430007,193.233.242.0/24,48678,0.0,0.0,0.0,0.0,0.0,0.0,0.965987676543714
1659455365,78.135.74.0/24,208972,0.0,0.0,0.0,0.0,1.0,0.0,0.8498012335579894
1659695058,192.101.66.0/24,60068,0.0,0.0,0.0,0.0,0.0,0.0,0.9920202594352306
1659752311,41.216.177.0/24,149938,0.0,0.0,0.0,0.0,1.0,0.0,0.9885341833062824
1659752311,41.216.178.0/24,149938,0.0,0.0,0.0,0.0,1.0,0.0,0.9885341833062824
1659822749,78.135.105.0/24,3188,0.0,0.0,0.0,0.0,1.0,0.0,0.8041959810023416
1659889976,31.130.190.0/24,59721,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1659998934,94.75.81.0/24,200878,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1660052955,45.225.218.0/23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.99504887149624
1660077395,2001:200:900::/40,4775,0.0,0.0,0.0,0.0,0.0,0.0,0.9775610974959376
1660077395,2001:200:600::/40,4775,0.0,0.0,0.0,0.0,0.0,0.0,0.9775841167021574
1660077395,2001:200:e000::/35,4775,0.0,0.0,0.0,0.0,0.0,0.0,0.977490404965768
1660077412,2001:200:e00::/40,4775,0.0,0.0,0.0,0.0,0.0,0.0,0.9774837568162325
1660077399,2001:288::/32,4775,0.0,0.0,0.0,0.0,0.0,0.0,0.9342814504324488
1660118771,217.17.159.0/24,42926,0.0,0.0,0.0,0.0,0.0,0.0,0.9180975665087237
1660132637,82.209.200.64/32,50113,0.0,0.0,0.0,0.0,0.0,0.0,0.9712841871516334
1660150422,128.14.1.0/24,14080,0.0,0.0,0.0,0.0,0.0,0.0,0.987970300252375
1660150422,78.110.226.0/24,14080,0.0,0.0,0.0,0.0,0.0,0.0,0.993350148142264
1660241872,103.90.242.0/24,6453,0.0,0.0,0.0,0.0,0.0,1.0,0.9881094598220096
1660294868,185.170.43.0/24,60781,0.0,0.0,0.0,0.0,0.0,0.0,0.987636741341368
1660470321,169.197.188.0/24,48678,0.0,0.0,0.0,0.0,0.0,0.0,0.994980952639862
1660470321,169.197.189.0/24,48678,0.0,0.0,0.0,0.0,0.0,0.0,0.994980952639862
1660573347,103.79.91.0/24,2220,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1660579962,108.165.252.0/24,43260,0.0,0.0,0.0,0.0,0.0,0.0,0.992312261541007
1660605990,46.102.106.0/24,212953,0.0,0.0,0.0,0.0,0.0,0.0,0.9923603800182992
1660671336,31.223.186.0/24,203214,0.0,0.0,0.0,0.0,1.0,0.0,0.7579444044771207
1660810363,172.101.0.0/24,266590,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1660841618,5.133.167.0/24,43847,0.0,0.0,0.0,0.0,0.0,0.0,0.8933927001865297
1660844168,45.17.175.0/24,268164,0.0,0.0,0.0,0.0,0.0,0.0,0.9898267948996812
