time,prefix,as_path,as_origin,roa_origin
1657878705,62.38.81.0/24,None,3329,3329
1657862441,62.60.147.0/24,None,58202,15611
1657874391,62.60.152.0/22,None,58202,15611+57844
1657921260,62.68.36.0/24,None,21003,21003
1657921260,62.68.37.0/24,None,21003,21003
1657909811,62.74.4.0/23,None,12361,3329
1657878716,62.74.32.0/21,None,12361,3329
1657878716,62.74.48.0/21,None,12361,3329
1657878716,62.74.60.0/23,None,12361,3329
1657881925,62.74.148.0/22,None,12361,3329
1657922002,62.74.176.0/23,None,12361,3329
1657878716,62.74.184.0/22,None,12361,3329
1657904571,62.76.74.0/23,None,51408,49199
1657738119,62.90.31.80/28,None,1680,1680
1657738119,62.90.140.1/32,None,1680,1680
1657738119,62.90.226.234/32,None,1680,1680
1657738119,62.90.227.163/32,None,1680,1680
1657916645,62.128.168.0/22,None,12440,44795
1657738208,62.181.50.127/32,None,61121,61121
1657738381,62.208.144.0/20,None,1273,1273
1657761305,63.141.62.0/24,None,30633,7018+13347+1239
1657921697,63.217.24.0/23,None,3491,198148
1657921697,63.217.40.0/21,None,3491,198148
1657921697,63.218.204.0/23,None,3491,198148
1657921697,63.218.213.0/24,None,3491,198148
1657921697,63.218.228.0/23,None,3491,198148
1657921697,63.222.7.0/24,None,3491,198148
1657921697,63.222.34.0/24,None,3491,31713
1657921697,63.222.58.0/24,None,3491,31713
1657921697,63.222.105.0/24,None,3491,198148
1657921697,63.222.184.0/24,None,3491,198148
1657921697,63.222.188.0/24,None,3491,198148
1657921697,63.222.191.0/24,None,3491,198148
1657921697,63.223.48.0/24,None,3491,31713
1657907466,63.223.67.0/24,None,19194,1239
1657919612,63.223.118.0/24,None,19194,1239
1657919803,64.24.94.0/23,None,7029,7029
1657919803,64.24.100.0/22,None,7029,7029
1657919803,64.24.154.0/23,None,7029,7029
1657919803,64.24.168.0/22,None,7029,7029
1657919803,64.24.215.0/24,None,7029,7029
1657919803,64.24.235.0/24,None,7029,7029
1657911651,64.24.249.0/24,None,7029,7029
1657921681,64.62.161.0/24,None,4455,6939
1657909330,158.51.114.0/23,None,394102,400326
1657738132,159.148.187.5/32,None,47814,2588
1657738132,159.148.187.6/32,None,47814,2588
1657908046,160.119.126.0/23,None,328160,328160
1657876223,160.246.128.0/17,None,7687,7687
1657912256,161.22.39.0/24,None,267789,272874
1657738087,161.43.79.0/25,None,7474,7474
1657738087,161.43.219.160/27,None,7474,7474
1657874500,161.151.112.0/22,None,6253,8030
1657858854,161.151.208.0/21,None,6253,8030
1657897302,161.151.208.0/22,None,6253,8030
1657918877,162.43.194.0/24,None,36492,14593
1657910148,163.53.233.0/24,None,45177,45671
1657866548,164.77.61.0/24,None,6471,27651
1657884767,164.77.83.0/24,None,6471,27651
1657892727,164.77.92.0/24,None,6471,27651
1657862127,164.77.181.0/24,None,6471,27651
1657862127,164.77.219.0/24,None,6471,27651
1657738323,164.100.189.0/24,None,4758,55824
1657920964,166.0.188.0/24,None,210654,40925
1657851534,166.1.48.0/21,None,19437,398465
1657852073,166.63.199.0/24,None,1273,1273
1657920235,167.179.224.0/24,None,55423,136952+45629
1657912893,167.249.160.0/24,None,265184,267575
1657912039,167.249.161.0/24,None,265184,267575
1657911191,167.249.162.0/24,None,265184,267575
1657892770,167.250.66.0/23,None,265204,265204
1657905504,168.195.127.0/24,None,262241,262241
1657910273,168.197.236.131/32,None,263982,263982
1657910273,168.197.236.146/32,None,263982,263982
1657910273,168.197.236.162/32,None,263982,263982
1657910273,168.197.236.180/32,None,263982,263982
1657910273,168.197.236.183/32,None,263982,263982
1657910273,168.197.236.186/32,None,263982,263982
1657910273,168.197.236.196/32,None,263982,263982
1657910273,168.197.236.205/32,None,263982,263982
1657910273,168.197.236.207/32,None,263982,263982
1657910273,168.197.236.209/32,None,263982,263982
1657910273,168.197.236.211/32,None,263982,263982
1657910273,168.197.236.212/32,None,263982,263982
1657910273,168.197.236.215/32,None,263982,263982
1657910273,168.197.236.216/32,None,263982,263982
1657910273,168.197.236.220/32,None,263982,263982
1657910273,168.197.236.224/32,None,263982,263982
1657910273,168.197.236.236/32,None,263982,263982
1657910273,168.197.236.240/32,None,263982,263982
1657910273,168.197.236.247/32,None,263982,263982
1657910273,168.197.236.252/32,None,263982,263982
1657910273,168.197.237.6/32,None,263982,263982
1657910273,168.197.237.8/32,None,263982,263982
1657910273,168.197.237.12/32,None,263982,263982
1657910273,168.197.237.14/32,None,263982,263982
1657910273,168.197.237.19/32,None,263982,263982
1657910273,168.197.237.34/32,None,263982,263982
1657910273,168.197.237.43/32,None,263982,263982
1657910273,168.197.237.49/32,None,263982,263982
1657910273,168.197.237.63/32,None,263982,263982
1657910273,168.197.237.80/32,None,263982,263982
1657910273,168.197.237.85/32,None,263982,263982
1657910273,168.197.237.134/32,None,263982,263982
1657910273,168.197.237.136/32,None,263982,263982
1657910273,168.197.237.145/32,None,263982,263982
1657910273,168.197.237.152/32,None,263982,263982
1657910273,168.197.237.153/32,None,263982,263982
1657910273,168.197.237.154/32,None,263982,263982
1657910273,168.197.237.162/32,None,263982,263982
1657910273,168.197.237.164/32,None,263982,263982
1657910273,168.197.237.178/32,None,263982,263982
1657910273,168.197.237.183/32,None,263982,263982
1657910273,168.197.237.186/32,None,263982,263982
1657910273,168.197.237.187/32,None,263982,263982
1657910273,168.197.237.189/32,None,263982,263982
1657910273,168.197.237.192/32,None,263982,263982
1657910273,168.197.237.195/32,None,263982,263982
1657910273,168.197.237.199/32,None,263982,263982
1657910273,168.197.237.201/32,None,263982,263982
1657910273,168.197.237.210/32,None,263982,263982
1657910273,168.197.237.225/32,None,263982,263982
1657910273,168.197.237.228/32,None,263982,263982
1657910273,168.197.237.236/32,None,263982,263982
1657910273,168.197.237.238/32,None,263982,263982
1657910273,168.197.237.242/32,None,263982,263982
1657910273,168.197.237.246/32,None,263982,263982
1657910273,168.197.237.247/32,None,263982,263982
1657910273,168.197.237.253/32,None,263982,263982
1657910273,168.197.237.254/32,None,263982,263982
1657910273,168.197.238.72/32,None,263982,263982
1657910273,168.197.238.76/32,None,263982,263982
1657910273,168.197.238.78/32,None,263982,263982
1657910273,168.197.238.86/32,None,263982,263982
1657910273,168.197.238.91/32,None,263982,263982
1657910273,168.197.238.96/32,None,263982,263982
1657910273,168.197.238.101/32,None,263982,263982
1657910273,168.197.238.103/32,None,263982,263982
1657910273,168.197.238.107/32,None,263982,263982
1657910273,168.197.238.108/32,None,263982,263982
1657910273,168.197.238.109/32,None,263982,263982
1657910273,168.197.238.116/32,None,263982,263982
1657910273,168.197.238.117/32,None,263982,263982
1657910273,168.197.238.134/32,None,263982,263982
1657910273,168.197.238.136/32,None,263982,263982
1657910273,168.197.238.141/32,None,263982,263982
1657910273,168.197.238.143/32,None,263982,263982
1657910273,168.197.238.146/32,None,263982,263982
1657910273,168.197.238.150/32,None,263982,263982
1657910273,168.197.238.160/32,None,263982,263982
1657910273,168.197.238.161/32,None,263982,263982
1657910273,168.197.238.162/32,None,263982,263982
1657910273,168.197.238.166/32,None,263982,263982
1657910273,168.197.238.173/32,None,263982,263982
1657910273,168.197.238.180/32,None,263982,263982
1657910273,168.197.238.185/32,None,263982,263982
1657910273,168.197.238.193/32,None,263982,263982
1657910273,168.197.238.208/32,None,263982,263982
1657910273,168.197.238.215/32,None,263982,263982
1657910273,168.197.238.223/32,None,263982,263982
1657910273,168.197.238.224/32,None,263982,263982
1657910273,168.197.238.232/32,None,263982,263982
1657910273,168.197.238.246/32,None,263982,263982
1657910273,168.197.239.2/32,None,263982,263982
1657910273,168.197.239.9/32,None,263982,263982
1657910273,168.197.239.23/32,None,263982,263982
1657910273,168.197.239.24/32,None,263982,263982
1657910273,168.197.239.27/32,None,263982,263982
1657910273,168.197.239.29/32,None,263982,263982
1657910273,168.197.239.46/32,None,263982,263982
1657910273,168.197.239.48/32,None,263982,263982
1657910273,168.197.239.53/32,None,263982,263982
1657910273,168.197.239.54/32,None,263982,263982
1657910273,168.197.239.61/32,None,263982,263982
1657910273,168.197.239.64/32,None,263982,263982
1657910273,168.197.239.69/32,None,263982,263982
1657910273,168.197.239.71/32,None,263982,263982
1657910273,168.197.239.78/32,None,263982,263982
1657910273,168.197.239.81/32,None,263982,263982
1657910273,168.197.239.84/32,None,263982,263982
1657910273,168.197.239.105/32,None,263982,263982
1657910273,168.197.239.112/32,None,263982,263982
1657910273,168.197.239.118/32,None,263982,263982
1657910273,168.197.239.125/32,None,263982,263982
1657910273,168.197.239.131/32,None,263982,263982
1657910273,168.197.239.134/32,None,263982,263982
1657910273,168.197.239.135/32,None,263982,263982
1657910273,168.197.239.140/32,None,263982,263982
1657910273,168.197.239.154/32,None,263982,263982
1657910273,168.197.239.161/32,None,263982,263982
1657910273,168.197.239.167/32,None,263982,263982
1657910273,168.197.239.172/32,None,263982,263982
1657910273,168.197.239.177/32,None,263982,263982
1657910273,168.197.239.178/32,None,263982,263982
1657910273,168.197.239.182/32,None,263982,263982
1657910273,168.197.239.183/32,None,263982,263982
1657910273,168.197.239.185/32,None,263982,263982
1657910273,168.197.239.186/32,None,263982,263982
1657910273,168.197.239.192/32,None,263982,263982
1657910273,168.197.239.197/32,None,263982,263982
1657910273,168.197.239.210/32,None,263982,263982
1657910273,168.197.239.222/32,None,263982,263982
1657910273,168.197.239.251/32,None,263982,263982
1657908248,169.197.191.0/24,None,62456,46450
1657916670,169.255.30.0/24,None,327926,327926
1657839497,84.47.167.0/24,None,201381,201387
1657880248,84.47.189.0/24,None,201486,201382
1657864600,84.96.127.0/24,None,15557,15557
1657922397,84.201.96.0/24,None,8879,12437
1657738035,85.14.16.1/32,None,8262,8262
1657738172,85.16.113.64/29,None,9145,9145
1657922099,85.130.225.0/24,None,8551,6810
1657877879,85.130.230.0/24,None,8551,6810
1657921202,85.130.248.0/21,None,8551,6810
1657880362,85.133.191.0/24,None,39074,39074
1657880362,85.133.193.0/24,None,39074,39074
1657915933,85.133.214.0/24,None,39074,39074
1657880363,85.133.252.0/24,None,39074,39074
1657738118,85.250.59.4/32,None,1680,1680
1657891635,85.254.103.0/24,None,35913,210906
1657881364,86.64.233.0/24,None,15557,15557
1657921697,86.105.185.0/24,None,51490,203346
1657921435,86.106.135.0/24,None,49999,25369
1657880500,87.107.142.0/23,None,42337,43395
1657738343,87.121.35.197/32,None,198228,198228
1657921410,87.121.58.0/24,None,200068,20454
1657854540,87.245.192.0/20,None,29470,57304
1657880589,88.136.0.0/14,None,8228,15557
1657896273,88.140.0.0/16,None,8228,15557
1657738130,88.223.144.140/32,None,24852,24852
1657903798,89.30.109.0/24,None,31216,201313
1657738338,89.31.101.128/26,None,21155,49685+35470
1657921697,89.34.104.0/24,None,51490,203346
1657921697,89.34.105.0/24,None,51490,203346
1657844454,89.35.227.0/24,None,62235,200845
1657921697,89.37.129.0/24,None,51490,203346
1657885706,89.37.174.0/24,None,1299,25369
1657921868,89.41.183.0/24,None,39737,33911
1657919638,89.45.93.0/24,None,9009,56871
1657904430,89.107.135.0/24,None,31368,40964
1657920976,89.116.44.0/24,None,211585,211975
1657918604,89.201.160.0/19,None,34594,34594
1657833220,89.203.56.0/24,None,21050,21050
1657781481,89.203.57.0/24,None,21050,21050
1657898393,89.219.36.0/23,None,39280,39232
1657909530,89.219.48.0/20,None,39280,39232
1657921429,89.247.144.0/22,None,8881,8881
1657882692,90.69.20.0/22,None,12479,12479
1657896193,90.69.24.0/21,None,12479,12479
1657896211,90.69.56.0/22,None,12479,12479
1657852359,90.69.64.0/22,None,12479,12479
1657863210,90.69.161.0/24,None,12479,12479
1657920312,90.69.162.0/24,None,12479,12479
1657917719,90.69.167.0/24,None,12479,12479
1657852991,90.69.208.0/22,None,12479,12479
1657884657,90.69.220.0/22,None,12479,12479
1657880550,90.69.240.0/21,None,12479,12479
1657880820,90.85.36.0/24,None,209092,3215
1657919865,90.151.136.0/22,None,12389,12389
1657880819,90.188.241.0/24,None,12389,12389
1657880819,90.188.244.0/23,None,12389,12389
1657880819,90.188.245.0/24,None,12389,12389
1657910373,91.99.96.0/19,None,16322,16322
1657921376,91.102.233.0/24,None,19905,196659
1657908664,91.126.160.0/20,None,35699,201942
1657920402,91.140.92.0/22,None,25472,2542
1657738207,91.140.124.0/22,None,25472,2542
1657920303,91.149.232.0/23,None,398343,26383
1657738327,91.214.204.65/32,None,49531,49531
1657738327,91.214.204.144/32,None,49531,49531
1657738158,91.218.159.232/32,None,51373,51373
1657738311,91.222.112.3/32,None,50401,50401
1657881314,91.227.228.0/24,None,56895,59595
1657919145,91.228.72.0/24,None,27281,14618+16509
1657910262,91.229.244.0/24,None,1239,136787
1657907835,91.233.254.0/23,None,198349,34691
1657738212,91.237.159.140/32,None,57998,57998
1657862492,91.242.103.0/24,None,51246,35346+7018
1657910137,91.242.105.0/24,None,7029,57916
1657910262,91.242.108.0/22,None,1239,35346+43094
1657920025,91.243.80.0/24,None,199524,210756
1657738173,91.249.170.64/27,None,9145,9145
1657738173,91.249.231.64/26,None,9145,9145
1657738173,91.249.236.40/29,None,9145,9145
1657914789,92.44.10.0/23,None,34984,34984
1657920297,92.60.165.0/24,None,206046,12541+8903
1657837792,124.74.162.0/24,None,4811,4812
1657840655,124.74.163.0/24,None,4811,4812
1657921538,124.74.174.0/24,None,4811,4812
1657865639,124.74.188.0/24,None,4811,4812
1657868504,124.74.189.0/24,None,4811,4812
1657849256,124.74.233.0/24,None,4811,4812
1657846273,124.123.108.0/24,None,55577,18209
1657738088,125.63.148.32/29,None,7474,7474
1657738088,125.63.167.192/27,None,7474,7474
1657738191,125.63.174.160/29,None,7474,7474
1657922133,125.64.104.0/24,None,38283,38283
1657916501,125.64.106.0/24,None,38283,38283
1657918815,125.208.132.0/22,None,4787,4787
1657914344,125.208.134.0/23,None,4787,4787
1657901360,125.208.148.0/22,None,4787,4787
1657901360,125.208.160.0/21,None,4787,4787
1657884309,125.208.160.0/23,None,4787,4787
1657901818,125.208.164.0/23,None,4787,4787
1657915882,125.208.168.0/21,None,4787,4787
1657884309,125.208.184.0/23,None,4787,4787
1657884309,125.208.186.0/23,None,4787,4787
1657916526,128.106.7.0/24,None,132403,3758
1657916526,128.106.84.0/22,None,9255,9506+3758
1657899615,130.255.173.0/24,None,50139,199484
1657920927,131.0.110.0/24,None,27651,6471
1657921540,131.72.106.0/23,None,61732,61732
1657737998,131.100.94.5/32,None,53001,53001
1657860563,131.161.61.0/24,None,264364,263569
1657862120,138.0.120.0/24,None,14259,272014
1657916611,138.219.66.0/24,None,263651,268205
1657877518,139.15.12.0/24,None,9183,203970
1657884669,139.28.152.0/22,None,198930,212341
1657790765,139.131.208.0/20,None,14297,53297+55002
1657910289,139.190.32.0/24,None,22333,60458
1657910289,139.190.33.0/24,None,22333,60458
1657836798,139.190.36.0/24,None,22333,10753
1657912766,139.190.37.0/24,None,22333,10753
1657908786,139.190.44.0/24,None,22333,60458
1657887680,139.190.45.0/24,None,22333,60458
1657880595,139.190.51.0/24,None,22333,1239
1657852447,139.190.58.0/24,None,22333,1239
1657858531,139.190.60.0/24,None,22333,60458
1657909383,139.190.104.0/22,None,13768,397373
1657917336,140.213.118.0/24,None,17885,139994
1657920361,140.228.20.0/24,None,7018,19437
1657911102,140.228.23.0/24,None,61317,1239
1657910261,140.228.30.0/23,None,1239,61317
1657913772,141.11.68.0/24,None,60721,211936+3320
1657884726,141.11.177.0/24,None,57416,399641
1657910139,141.80.0.0/16,None,680,210482
1657910261,141.140.0.0/22,None,1239,49999
1657904448,41.252.0.0/18,None,21003,21003
1657870415,41.252.128.0/18,None,21003,21003
1657888189,41.253.96.0/19,None,21003,21003
1657875384,41.253.160.0/20,None,21003,21003
1657877380,41.253.176.0/21,None,21003,21003
1657908820,41.253.184.0/21,None,21003,21003
1657918515,41.253.224.0/19,None,21003,21003
1657897997,41.254.40.0/24,None,21003,21003
1657877370,41.254.46.0/24,None,21003,21003
1657914644,41.254.52.0/24,None,21003,21003
1657918376,41.254.56.0/24,None,21003,21003
1657904449,42.60.0.0/17,None,9506,3758
1657921171,43.225.248.0/24,None,137085,133248
1657904448,43.239.78.0/24,None,133977,45117
1657738359,43.239.159.110/32,None,55799,55799
1657738331,43.245.70.40/30,None,55845,38880
1657922341,43.246.226.0/24,None,58895,141711
1657738335,43.255.240.71/32,None,59374,59374
1657824317,45.4.67.0/24,None,53059,53059
1657922024,45.5.220.0/22,None,266123,263569
1657785015,45.6.100.0/24,None,266181,266181
1657920724,45.6.199.0/24,None,266563,266563
1657738268,45.6.221.217/32,None,266248,266248
1657738268,45.6.221.233/32,None,266248,266248
1657738268,45.6.221.241/32,None,266248,266248
1657738268,45.6.221.249/32,None,266248,266248
1657738268,45.6.223.237/32,None,266248,266248
1657911884,45.8.70.0/24,None,45671,137409
1657920764,45.9.8.0/23,None,41378,60021
1657918186,45.11.40.0/24,None,15924,205893
1657836781,45.11.107.0/24,None,57695,969
1657908527,45.38.182.0/24,None,141039,136787
1657911681,45.41.105.0/24,None,45558,9988
1657921952,45.42.176.0/24,None,54578,834
1657921698,45.66.149.0/24,None,61317,212238
1657910082,45.80.106.0/24,None,46844,35830
1657920756,45.88.13.0/24,None,142403,398343
1657875145,45.114.83.0/24,None,56209,55352
1657738209,45.118.244.41/32,None,58717,45905
